"first_name","last_name","id","age","study_hours","specialization","GPA","date_added","gender"
"Youssef","Ben Ali","123456789","22","6","Business Analytics","3.9","25/06/2020","M"
"Amira","Bouazizi","234567890","25","3","Finance","3.9","25/06/2020","F"
"Ahmed","Khaldi","345678901","24","6","Accounting","3.8","25/06/2020","M"
"Amina","Hamrouni","456789012","21","7","Marketing","3.8","25/06/2020","F"
"Mehdi","Gharbi","567890123","21","6","Business Analytics","3.8","25/06/2020","M"
"Fatma","Jlassi","678901234","25","8","Accounting","3.7","25/06/2020","F"
"Mohamed","Ben Amor","789012345","21","null","Accounting","3.7","25/06/2020","M"
"Houda","Chakroun","890123456","25","7","Accounting","3.6","25/06/2020","F"
"Marwen","Nasri","901234567","21","5","Accounting","3.6","25/06/2020","M"
"Nour","Slimani","112233445","25","1","Information Technology","3.6","25/06/2020","F"
"Aymen","Mabrouk","223344556","22","2","Accounting","3.5","25/06/2020","M"
"Amal","Ben Youssef","334455667","24","2","Accounting","3.5","25/06/2020","F"
"Fares","Ghedira","445566778","25","3","Finance","3.4","25/06/2020","M"
"Salma","Cherif","556677889","23","5","Accounting","3.4","25/06/2020","F"
"Anis","Gabsi","667788990","24","5","Business Analytics","3.4","25/06/2020","M"
"Rania","Ben Salah","778899001","22","5","Marketing","3.3","25/06/2020","F"
"Karim","Haddad","889900112","22","3","Marketing","3.3","25/06/2020","M"
"Nesrine","Karray","990011223","24","3","Marketing","3.2","25/06/2020","F"
"Walid","Ben Jemaa","111222333","23","3","Marketing","3.2","25/06/2020","M"
"Lina","Sassi","222333444","25","null","Business Analytics","3.2","25/06/2020","F"
"Zied","Ben Hassen","333444555","25","1","Finance","3.1","25/06/2020","M"
"Meriem","Jemai","444555666","22","null","Business Analytics","3.1","25/06/2020","F"
"Hamza","Miled","555666777","24","2","Business Analytics","3.1","25/06/2020","M"
"Ines","Ben Mahmoud","666777888","21","2","Marketing","3","25/06/2020","F"
"Riadh","Chaabane","777888999","21","6","Business Analytics","3","25/06/2020","M"
"Chaima","Sfar","888999000","25","3","Finance","3","25/06/2020","F"
"Mounir","Fekih","999000111","25","2","Finance","2.9","25/06/2020","M"
"Rim","Belhadj","123987456","23","5","Finance","2.9","25/06/2020","F"
"Wissem","Chebbi","456789321","25","1","Information Technology","2.9","25/06/2020","M"
"Sana","Kacem","789654123","23","7","Accounting","2.8","25/06/2020","F"
"Yassine","Jaouadi","321654987","21","6","Business Analytics","2.8","25/06/2020","M"
"Asma","Ben Mansour","654123789","25","null","Marketing","2.8","25/06/2020","F"
"Slim","Mejri","987456321","23","1","Marketing","2.7","25/06/2020","M"
"Myriam","El Abed","654789321","23","8","Information Technology","2.7","25/06/2020","F"
"Oussama","Dhaouadi","321987654","24","8","Finance","2.7","25/06/2020","M"
"Sabrine","Ben Romdhane","987321654","22","8","Information Technology","2.6","25/06/2020","F"
"Sofiene","Marzouki","987654321","25","3","Finance","2.6","25/06/2020","M"
"Ghada","Belkhir","321456789","23","null","Finance","2.6","25/06/2020","F"
"Khaled","Zouari","123456789","24","3","Accounting","2.5","25/06/2020","M"
"Hela","Ben Othman","987654321","21","6","Marketing","2.5","25/06/2020","F"
"Wassim","Hamdi","654321987","22","null","Accounting","2.4","25/06/2020","M"
"Hayet","Ben Ameur","321987654","23","3","Finance","2.4","25/06/2020","F"
"Nizar","Bouzid","987654321","22","5","Accounting","2.3","25/06/2020","M"
"Houdhaifa","Maatoug","789654123","24","3","Business Analytics","2.3","25/06/2020","F"
"Saida","Ben Miled","456789321","21","8","Marketing","2.3","25/06/2020","M"
"Raouf","Laaribi","654123789","24","3","Information Technology","2.2","25/06/2020","F"
"Imen","Ben Ayed","321654987","25","null","Information Technology","2.2","25/06/2020","M"
"Lotfi","Ben Slimane","111222333","22","1","Marketing","2.2","25/06/2020","F"
"Zeineb","Jelassi","333444555","21","1","Finance","2.1","25/06/2020","M"
"Sami","Ben Saad","555666777","21","1","Business Analytics","2.1","25/06/2020","F"
"Rym","Hachicha","777888999","24","8","Finance","2.1","25/06/2020","M"
"Zouhair","Ben Mabrouk","999000111","25","7","Information Technology","2","25/06/2020","F"
"Dorsaf","Ammar","111000999","21","2","Marketing","2","25/06/2020","M"
"Wael","Trabelsi","999888777","22","5","Accounting","2","25/06/2020","F"
"Hiba","Gouia","777666555","23","7","Information Technology","1.9","25/06/2020","M"
"Yacine","Rekik","555444333","23","4","Accounting","1.9","25/06/2020","F"
"Amel","Khemiri","333222111","21","7","Information Technology","1.9","25/06/2020","M"
"Tarek","Abid","654789321","21","5","Marketing","1.8","25/06/2020","F"
"Naima","Zouaghi","321987654","23","3","Finance","1.8","25/06/2020","M"
"Adel","Jarraya","987321654","21","5","Business Analytics","1.8","25/06/2020","F"
"Sonia","Gara","654321987","25","3","Marketing","1.7","25/06/2020","M"
"Atef","Ben Dhia","987654321","22","5","Marketing","1.7","25/06/2020","F"
"Dalila","Touati","321456789","22","null","Information Technology","1.7","25/06/2020","M"
"Amin","Jedidi","123456789","25","4","Accounting","1.6","25/06/2020","F"
"Saloua","Kammoun","987654321","22","null","Information Technology","1.6","25/06/2020","M"
"Nabil","Gouider","654321987","25","4","Finance","1.6","25/06/2020","F"
"Sihem","Ben Haj","321987654","21","7","Marketing","1.5","25/06/2020","M"
"Bilel","Louati","987654321","22","8","Marketing","1.5","25/06/2020","F"
"Afef","Ben Moussa","789654123","22","1","Marketing","1.5","25/06/2020","M"
"Anouar","Sghaier","456789321","25","8","Business Analytics","1.5","25/06/2020","F"
"Amira","Ben Ali","654123789","22","6","Marketing","1.4","25/06/2020","M"
"Jihene","Bouazizi","321654987","22","1","Marketing","1.4","25/06/2020","F"
"Anas","Khaldi","111222333","22","3","Business Analytics","1.4","25/06/2020","M"
"Sirine","Hamrouni","333444555","22","4","Marketing","1.3","25/06/2020","F"
"Habib","Gharbi","555666777","23","null","Accounting","1.3","25/06/2020","M"
"Lilia","Jlassi","777888999","21","null","Finance","1.3","25/06/2020","F"
"Chokri","Ben Amor","999000111","24","null","Marketing","1.2","25/06/2020","M"
"Houda","Chakroun","111000999","21","4","Finance","1.2","25/06/2020","F"
"Fathi","Nasri","999888777","21","2","Information Technology","1.2","25/06/2020","M"
"Aicha","Slimani","777666555","23","8","Finance","1.1","25/06/2020","F"
"Mohamed Ali","Mabrouk","555444333","21","4","Information Technology","1.1","25/06/2020","M"
"Leila","Ben Youssef","333222111","24","null","Finance","1.1","25/06/2020","F"
"Moez","Ghedira","654789321","25","null","Information Technology","1","25/06/2020","M"
"Nadia","Cherif","321987654","24","4","Business Analytics","1","25/06/2020","F"
"Ghazi","Gabsi","987321654","23","5","Business Analytics","1","25/06/2020","M"
"Safa","Ben Salah","654321987","22","5","Accounting","3.9","25/06/2020","F"
"Samir","Haddad","987654321","21","3","Marketing","3.9","25/06/2020","M"
"Aida","Karray","321456789","21","1","Business Analytics","3.8","25/06/2020","F"
"Noura","Ben Jemaa","123456789","24","5","Accounting","3.8","25/06/2020","M"
"Oussama","Sassi","987654321","23","1","Information Technology","3.8","25/06/2020","F"
"Selma","Ben Hassen","654321987","21","7","Finance","3.7","25/06/2020","M"
"Mohamed Amine","Jemai","321987654","21","7","Business Analytics","3.7","25/06/2020","F"
"Laila","Miled","987654321","24","1","Business Analytics","3.6","25/06/2020","M"
"Karim","Ben Mahmoud","789654123","23","5","Accounting","3.6","25/06/2020","F"
"Faten","Chaabane","456789321","25","2","Business Analytics","3.6","25/06/2020","M"
"Ahmed","Sfar","654123789","21","3","Information Technology","3.5","25/06/2020","F"
