"first_name","last_name","id","age","study_hours","specialization","GPA","date_added","gender"
"Ahmed","Bouazza","7632451","21","7","Marketing","3.5","31/10/2020","M"
"Fatima","Benali","9023145","21","2","Finance","3.49","04/08/2020","F"
"Yasir","Boudjemaa","5184736","23","null","Finance","3.48","03/05/2021","M"
"Amina","Belkacem","6948203","21","1","Finance","3.47","29/11/2020","F"
"Malik","Ait Kaci","1278549","23","2","Marketing","3.46","22/09/2020","M"
"Djamila","Boumediene","6359872","25","7","Information Technology","3.45","30/04/2021","F"
"Sofiane","Ouali","3048752","25","null","Information Technology","3.44","26/11/2020","M"
"Laila","Bouzid","8901245","25","2","Business Analytics","3.43","12/07/2020","F"
"Hamza","Amara","4367890","23","5","Accounting","3.42","13/07/2020","M"
"Zahra","Meziane","5712348","21","6","Marketing","3.41","30/03/2021","F"
"Bilal","Hamdi","9203841","25","5","Business Analytics","3.4","12/07/2020","M"
"Salima","Bouziane","6874301","24","null","Business Analytics","3.39","16/08/2020","F"
"Hichem","Belkheir","2398567","22","3","Finance","3.38","17/05/2021","M"
"Naima","Slimane","8031742","22","2","Business Analytics","3.37","09/05/2021","F"
"Kamel","Boudjellal","6152978","25","1","Business Analytics","3.36","24/01/2021","M"
"Nadia","Zeroual","4920785","21","4","Business Analytics","3.35","30/08/2020","F"
"Youssef","Saadi","3562187","21","5","Finance","3.34","09/01/2021","M"
"Khadija","Ait Ali","1248709","25","null","Accounting","3.33","04/12/2020","F"
"Amir","Boucetta","7890314","22","6","Business Analytics","3.32","26/09/2020","M"
"Fatiha","Meziani","5432981","23","5","Finance","3.31","20/10/2020","F"
"Karim","Bensaada","1879650","24","6","Marketing","3.3","01/03/2021","M"
"Zineb","Kadi","9023841","21","5","Accounting","3.29","14/01/2021","F"
"Walid","Guermat","4532168","25","7","Business Analytics","3.28","23/02/2021","M"
"Samira","Abdi","6790832","25","4","Marketing","3.27","18/02/2021","F"
"Rachid","Bouhafs","2197654","21","null","Finance","3.26","11/09/2020","M"
"Soraya","Terkmani","5043128","21","8","Accounting","3.25","27/10/2020","F"
"Mourad","Ait Amar","8657902","25","6","Marketing","3.24","26/05/2021","M"
"Samia","Bouaicha","3482107","23","3","Marketing","3.23","18/01/2021","F"
"Tarik","Bouderbala","7321984","24","4","Business Analytics","3.22","14/09/2020","M"
"Hanane","Ait Said","6902431","24","8","Accounting","3.21","12/05/2021","F"
"Abdelkader","Bensaid","1273458","25","5","Marketing","3.2","13/07/2020","M"
"Nour","Kaci","5012398","23","5","Finance","3.19","28/08/2020","F"
"Hocine","Benali","8764302","23","6","Information Technology","3.18","12/07/2020","M"
"Farida","Ait Ziane","2831749","21","8","Marketing","3.17","23/02/2021","F"
"Adel","Sadi","4678092","21","6","Marketing","3.16","10/07/2020","M"
"Rima","Boudiaf","3142875","21","2","Marketing","3.15","07/04/2021","F"
"Nordine","Ait Hamouda","9587203","23","null","Finance","3.14","18/01/2021","M"
"Nadira","Chibane","6218403","24","8","Business Analytics","3.13","04/07/2020","F"
"Khaled","Boulares","3842107","22","4","Information Technology","3.12","20/03/2021","M"
"Naima","Guerrouj","5987023","24","6","Information Technology","3.11","17/12/2020","F"
"Djamel","Ziani","1934875","25","5","Business Analytics","3.1","27/09/2020","M"
"Sabrina","Kadri","8723416","23","5","Information Technology","3.09","18/09/2020","F"
"Riad","Boudalia","5062814","23","1","Accounting","3.08","30/05/2021","M"
"Khadija","Benkaci","4398702","22","null","Accounting","3.07","30/01/2021","F"
"Anissa","Slimani","6840312","23","null","Accounting","3.06","14/01/2021","M"
"Amir","Belkhadem","2751934","23","5","Marketing","3.05","01/07/2020","F"
"Amina","Bouzar","8436051","23","1","Business Analytics","3.04","31/12/2020","M"
"Ilyes","Goumidi","1693472","25","5","Finance","3.03","23/03/2021","F"
"Kenza","Ait Haddad","7203984","25","5","Information Technology","3.02","19/12/2020","M"
"Yacine","Salmi","5846702","21","4","Information Technology","3.01","08/02/2021","F"
"Hiba","Tabet","3921854","24","5","Marketing","3.0","13/01/2021","M"
"Nabil","Guenifi","8307462","22","7","Information Technology","2.99","19/05/2021","F"
"Nawel","Allam","5478320","22","5","Marketing","2.98","25/04/2021","M"
"Adil","Derradji","1083724","21","8","Accounting","2.97","09/09/2020","F"
"Dalila","Boukhalfa","6931748","21","5","Finance","2.96","21/05/2021","M"
"Hassen","Oussalah","2158967","23","null","Accounting","2.95","07/08/2020","F"
"Noura","Hamdadou","4768302","25","7","Finance","2.94","06/12/2020","M"
"Tarek","Belhadj","9283451","22","4","Information Technology","2.93","27/03/2021","F"
"Leila","Medjani","6345018","21","1","Accounting","2.92","20/08/2020","M"
"Hakim","Boukaabous","8014723","22","6","Accounting","2.91","14/10/2020","F"
"Samra","Benkoula","1298460","25","null","Information Technology","2.9","27/04/2021","M"
"Rachid","Zeghdoud","5673089","25","null","Information Technology","2.89","06/10/2020","F"
"Salma","Bennaoui","7432158","21","5","Finance","2.88","12/07/2020","M"
"Djamel","Berrahal","4820173","24","8","Business Analytics","2.87","14/07/2020","F"
"Yasmine","Boughedir","6701934","23","7","Finance","2.86","20/09/2020","M"
"Amir","Guerfi","3572409","23","null","Business Analytics","2.85","04/10/2020","F"
